month,discount_rate_percent
1934-01,0.72
1934-02,0.62
1934-03,0.24
1934-04,0.15
1934-05,0.16
1934-06,0.15
1934-07,0.15
1934-08,0.19
1934-09,0.21
1934-10,0.27
1934-11,0.25
1934-12,0.23
1935-01,0.20
1935-02,0.19
1935-03,0.15
1935-04,0.15
1935-05,0.15
1935-06,0.15
1935-07,0.15
1935-08,0.16
1935-09,0.20
1935-10,0.20
1935-11,0.16
1935-12,0.15
1936-01,0.20
1936-02,0.20
1936-03,0.20
1936-04,0.20
1936-05,0.20
1936-06,0.20
1936-07,0.15
1936-08,0.20
1936-09,0.16
1936-10,0.13
1936-11,0.11
1936-12,0.12
1937-01,0.17
1937-02,0.15
1937-03,0.38
1937-04,0.56
1937-05,0.41
1937-06,0.36
1937-07,0.28
1937-08,0.29
1937-09,0.31
1937-10,0.20
1937-11,0.09
1937-12,0.11
1938-01,0.10
1938-02,0.08
1938-03,0.08
1938-04,0.09
1938-05,0.05
1938-06,0.05
1938-07,0.07
1938-08,0.06
1938-09,0.08
1938-10,0.05
1938-11,0.04
1938-12,0.03
1939-01,0.03
1939-02,0.03
1939-03,0.03
1939-04,0.03
1939-05,0.03
1939-06,0.03
1939-07,0.04
1939-08,0.05
1939-09,0.14
1939-10,0.05
1939-11,0.05
1939-12,0.04
1940-01,0.01
1940-02,0.02
1940-03,0.02
1940-04,0.02
1940-05,0.06
1940-06,0.10
1940-07,0.05
1940-08,0.04
1940-09,0.05
1940-10,0.02
1940-11,0.02
1940-12,0.02
1941-01,0.02
1941-02,0.04
1941-03,0.11
1941-04,0.10
1941-05,0.11
1941-06,0.12
1941-07,0.12
1941-08,0.13
1941-09,0.10
1941-10,0.09
1941-11,0.28
1941-12,0.33
1942-01,0.27
1942-02,0.25
1942-03,0.25
1942-04,0.32
1942-05,0.37
1942-06,0.37
1942-07,0.38
1942-08,0.38
1942-09,0.38
1942-10,0.38
1942-11,0.38
1942-12,0.38
1943-01,0.38
1943-02,0.38
1943-03,0.38
1943-04,0.38
1943-05,0.38
1943-06,0.38
1943-07,0.38
1943-08,0.38
1943-09,0.38
1943-10,0.38
1943-11,0.38
1943-12,0.38
1944-01,0.38
1944-02,0.38
1944-03,0.38
1944-04,0.38
1944-05,0.38
1944-06,0.38
1944-07,0.38
1944-08,0.38
1944-09,0.38
1944-10,0.38
1944-11,0.38
1944-12,0.38
1945-01,0.38
1945-02,0.38
1945-03,0.38
1945-04,0.38
1945-05,0.38
1945-06,0.38
1945-07,0.38
1945-08,0.38
1945-09,0.38
1945-10,0.38
1945-11,0.38
1945-12,0.38
1946-01,0.38
1946-02,0.38
1946-03,0.38
1946-04,0.38
1946-05,0.38
1946-06,0.38
1946-07,0.38
1946-08,0.38
1946-09,0.38
1946-10,0.38
1946-11,0.38
1946-12,0.38
1947-01,0.38
1947-02,0.38
1947-03,0.38
1947-04,0.38
1947-05,0.38
1947-06,0.38
1947-07,0.66
1947-08,0.75
1947-09,0.80
1947-10,0.85
1947-11,0.92
1947-12,0.95
1948-01,0.97
1948-02,1.00
1948-03,1.00
1948-04,1.00
1948-05,1.00
1948-06,1.00
1948-07,1.00
1948-08,1.06
1948-09,1.09
1948-10,1.12
1948-11,1.14
1948-12,1.16
1949-01,1.17
1949-02,1.17
1949-03,1.17
1949-04,1.17
1949-05,1.17
1949-06,1.17
1949-07,1.02
1949-08,1.04
1949-09,1.07
1949-10,1.05
1949-11,1.08
1949-12,1.10
1950-01,1.07
1950-02,1.12
1950-03,1.12
1950-04,1.15
1950-05,1.16
1950-06,1.15
1950-07,1.16
1950-08,1.20
